,요일,방문 시간대,방문자 집중률,지역구,방문자수,시간별방문자수
0,일요일,00~06시,0.013000000000000001,강서구,3079993.0,40039.90900000001
1,일요일,06~11시,0.031,강서구,3079993.0,95479.783
2,일요일,11~14시,0.034,강서구,3079993.0,104719.762
3,일요일,14~18시,0.046,강서구,3079993.0,141679.67799999999
4,일요일,18~21시,0.022000000000000002,강서구,3079993.0,67759.846
5,일요일,21~24시,0.01,강서구,3079993.0,30799.93
6,월요일,00~06시,0.009000000000000001,강서구,3079993.0,27719.937
7,월요일,06~11시,0.035,강서구,3079993.0,107799.755
8,월요일,11~14시,0.026000000000000002,강서구,3079993.0,80079.81800000001
9,월요일,14~18시,0.035,강서구,3079993.0,107799.755
10,월요일,18~21시,0.016,강서구,3079993.0,49279.888
11,월요일,21~24시,0.006999999999999999,강서구,3079993.0,21559.950999999997
12,화요일,00~06시,0.009000000000000001,강서구,3079993.0,27719.937
13,화요일,06~11시,0.036000000000000004,강서구,3079993.0,110879.748
14,화요일,11~14시,0.026000000000000002,강서구,3079993.0,80079.81800000001
15,화요일,14~18시,0.035,강서구,3079993.0,107799.755
16,화요일,18~21시,0.017,강서구,3079993.0,52359.881
17,화요일,21~24시,0.008,강서구,3079993.0,24639.944
18,수요일,00~06시,0.01,강서구,3079993.0,30799.93
19,수요일,06~11시,0.037000000000000005,강서구,3079993.0,113959.74100000001
20,수요일,11~14시,0.026000000000000002,강서구,3079993.0,80079.81800000001
21,수요일,14~18시,0.036000000000000004,강서구,3079993.0,110879.748
22,수요일,18~21시,0.017,강서구,3079993.0,52359.881
23,수요일,21~24시,0.008,강서구,3079993.0,24639.944
24,목요일,00~06시,0.009000000000000001,강서구,3079993.0,27719.937
25,목요일,06~11시,0.037000000000000005,강서구,3079993.0,113959.74100000001
26,목요일,11~14시,0.026000000000000002,강서구,3079993.0,80079.81800000001
27,목요일,14~18시,0.035,강서구,3079993.0,107799.755
28,목요일,18~21시,0.017,강서구,3079993.0,52359.881
29,목요일,21~24시,0.008,강서구,3079993.0,24639.944
30,금요일,00~06시,0.01,강서구,3079993.0,30799.93
31,금요일,06~11시,0.04,강서구,3079993.0,123199.72
32,금요일,11~14시,0.028999999999999998,강서구,3079993.0,89319.79699999999
33,금요일,14~18시,0.040999999999999995,강서구,3079993.0,126279.71299999999
34,금요일,18~21시,0.022000000000000002,강서구,3079993.0,67759.846
35,금요일,21~24시,0.011000000000000001,강서구,3079993.0,33879.923
36,토요일,00~06시,0.012,강서구,3079993.0,36959.916
37,토요일,06~11시,0.037000000000000005,강서구,3079993.0,113959.74100000001
38,토요일,11~14시,0.035,강서구,3079993.0,107799.755
39,토요일,14~18시,0.047,강서구,3079993.0,144759.671
40,토요일,18~21시,0.023,강서구,3079993.0,70839.83899999999
41,토요일,21~24시,0.012,강서구,3079993.0,36959.916
0,일요일,00~06시,0.018000000000000002,금정구,2303101.0,41455.81800000001
1,일요일,06~11시,0.03,금정구,2303101.0,69093.03
2,일요일,11~14시,0.035,금정구,2303101.0,80608.535
3,일요일,14~18시,0.046,금정구,2303101.0,105942.646
4,일요일,18~21시,0.022000000000000002,금정구,2303101.0,50668.222
5,일요일,21~24시,0.011000000000000001,금정구,2303101.0,25334.111
6,월요일,00~06시,0.013000000000000001,금정구,2303101.0,29940.313000000002
7,월요일,06~11시,0.03,금정구,2303101.0,69093.03
8,월요일,11~14시,0.024,금정구,2303101.0,55274.424
9,월요일,14~18시,0.032,금정구,2303101.0,73699.232
10,월요일,18~21시,0.018000000000000002,금정구,2303101.0,41455.81800000001
11,월요일,21~24시,0.01,금정구,2303101.0,23031.010000000002
12,화요일,00~06시,0.013000000000000001,금정구,2303101.0,29940.313000000002
13,화요일,06~11시,0.031,금정구,2303101.0,71396.131
14,화요일,11~14시,0.024,금정구,2303101.0,55274.424
15,화요일,14~18시,0.033,금정구,2303101.0,76002.333
16,화요일,18~21시,0.019,금정구,2303101.0,43758.919
17,화요일,21~24시,0.01,금정구,2303101.0,23031.010000000002
18,수요일,00~06시,0.013000000000000001,금정구,2303101.0,29940.313000000002
19,수요일,06~11시,0.031,금정구,2303101.0,71396.131
20,수요일,11~14시,0.025,금정구,2303101.0,57577.525
21,수요일,14~18시,0.033,금정구,2303101.0,76002.333
22,수요일,18~21시,0.019,금정구,2303101.0,43758.919
23,수요일,21~24시,0.011000000000000001,금정구,2303101.0,25334.111
24,목요일,00~06시,0.013000000000000001,금정구,2303101.0,29940.313000000002
25,목요일,06~11시,0.031,금정구,2303101.0,71396.131
26,목요일,11~14시,0.025,금정구,2303101.0,57577.525
27,목요일,14~18시,0.033,금정구,2303101.0,76002.333
28,목요일,18~21시,0.019,금정구,2303101.0,43758.919
29,목요일,21~24시,0.011000000000000001,금정구,2303101.0,25334.111
30,금요일,00~06시,0.013000000000000001,금정구,2303101.0,29940.313000000002
31,금요일,06~11시,0.032,금정구,2303101.0,73699.232
32,금요일,11~14시,0.026000000000000002,금정구,2303101.0,59880.626000000004
33,금요일,14~18시,0.036000000000000004,금정구,2303101.0,82911.63600000001
34,금요일,18~21시,0.022000000000000002,금정구,2303101.0,50668.222
35,금요일,21~24시,0.013999999999999999,금정구,2303101.0,32243.413999999997
36,토요일,00~06시,0.017,금정구,2303101.0,39152.717000000004
37,토요일,06~11시,0.033,금정구,2303101.0,76002.333
38,토요일,11~14시,0.035,금정구,2303101.0,80608.535
39,토요일,14~18시,0.048,금정구,2303101.0,110548.848
40,토요일,18~21시,0.026000000000000002,금정구,2303101.0,59880.626000000004
41,토요일,21~24시,0.016,금정구,2303101.0,36849.616
0,일요일,00~06시,0.02,기장군,3275110.0,65502.200000000004
1,일요일,06~11시,0.034,기장군,3275110.0,111353.74
2,일요일,11~14시,0.051,기장군,3275110.0,167030.61
3,일요일,14~18시,0.071,기장군,3275110.0,232532.80999999997
4,일요일,18~21시,0.027000000000000003,기장군,3275110.0,88427.97000000002
5,일요일,21~24시,0.011000000000000001,기장군,3275110.0,36026.21000000001
6,월요일,00~06시,0.011000000000000001,기장군,3275110.0,36026.21000000001
7,월요일,06~11시,0.025,기장군,3275110.0,81877.75
8,월요일,11~14시,0.026000000000000002,기장군,3275110.0,85152.86
9,월요일,14~18시,0.034,기장군,3275110.0,111353.74
10,월요일,18~21시,0.015,기장군,3275110.0,49126.65
11,월요일,21~24시,0.006999999999999999,기장군,3275110.0,22925.769999999997
12,화요일,00~06시,0.01,기장군,3275110.0,32751.100000000002
13,화요일,06~11시,0.025,기장군,3275110.0,81877.75
14,화요일,11~14시,0.024,기장군,3275110.0,78602.64
15,화요일,14~18시,0.031,기장군,3275110.0,101528.41
16,화요일,18~21시,0.013999999999999999,기장군,3275110.0,45851.53999999999
17,화요일,21~24시,0.006999999999999999,기장군,3275110.0,22925.769999999997
18,수요일,00~06시,0.01,기장군,3275110.0,32751.100000000002
19,수요일,06~11시,0.025,기장군,3275110.0,81877.75
20,수요일,11~14시,0.024,기장군,3275110.0,78602.64
21,수요일,14~18시,0.032,기장군,3275110.0,104803.52
22,수요일,18~21시,0.015,기장군,3275110.0,49126.65
23,수요일,21~24시,0.006999999999999999,기장군,3275110.0,22925.769999999997
24,목요일,00~06시,0.009000000000000001,기장군,3275110.0,29475.990000000005
25,목요일,06~11시,0.025,기장군,3275110.0,81877.75
26,목요일,11~14시,0.024,기장군,3275110.0,78602.64
27,목요일,14~18시,0.031,기장군,3275110.0,101528.41
28,목요일,18~21시,0.015,기장군,3275110.0,49126.65
29,목요일,21~24시,0.006999999999999999,기장군,3275110.0,22925.769999999997
30,금요일,00~06시,0.01,기장군,3275110.0,32751.100000000002
31,금요일,06~11시,0.026000000000000002,기장군,3275110.0,85152.86
32,금요일,11~14시,0.026000000000000002,기장군,3275110.0,85152.86
33,금요일,14~18시,0.036000000000000004,기장군,3275110.0,117903.96000000002
34,금요일,18~21시,0.019,기장군,3275110.0,62227.09
35,금요일,21~24시,0.01,기장군,3275110.0,32751.100000000002
36,토요일,00~06시,0.016,기장군,3275110.0,52401.76
37,토요일,06~11시,0.033,기장군,3275110.0,108078.63
38,토요일,11~14시,0.044000000000000004,기장군,3275110.0,144104.84000000003
39,토요일,14~18시,0.067,기장군,3275110.0,219432.37000000002
40,토요일,18~21시,0.032,기장군,3275110.0,104803.52
41,토요일,21~24시,0.016,기장군,3275110.0,52401.76
0,일요일,00~06시,0.021,남구,2422861.0,50880.081000000006
1,일요일,06~11시,0.026000000000000002,남구,2422861.0,62994.386000000006
2,일요일,11~14시,0.026000000000000002,남구,2422861.0,62994.386000000006
3,일요일,14~18시,0.035,남구,2422861.0,84800.13500000001
4,일요일,18~21시,0.02,남구,2422861.0,48457.22
5,일요일,21~24시,0.012,남구,2422861.0,29074.332000000002
6,월요일,00~06시,0.016,남구,2422861.0,38765.776
7,월요일,06~11시,0.028999999999999998,남구,2422861.0,70262.969
8,월요일,11~14시,0.024,남구,2422861.0,58148.664000000004
9,월요일,14~18시,0.032,남구,2422861.0,77531.552
10,월요일,18~21시,0.019,남구,2422861.0,46034.359
11,월요일,21~24시,0.012,남구,2422861.0,29074.332000000002
12,화요일,00~06시,0.015,남구,2422861.0,36342.915
13,화요일,06~11시,0.03,남구,2422861.0,72685.83
14,화요일,11~14시,0.025,남구,2422861.0,60571.525
15,화요일,14~18시,0.033,남구,2422861.0,79954.413
16,화요일,18~21시,0.02,남구,2422861.0,48457.22
17,화요일,21~24시,0.013000000000000001,남구,2422861.0,31497.193000000003
18,수요일,00~06시,0.015,남구,2422861.0,36342.915
19,수요일,06~11시,0.03,남구,2422861.0,72685.83
20,수요일,11~14시,0.025,남구,2422861.0,60571.525
21,수요일,14~18시,0.034,남구,2422861.0,82377.274
22,수요일,18~21시,0.02,남구,2422861.0,48457.22
23,수요일,21~24시,0.013000000000000001,남구,2422861.0,31497.193000000003
24,목요일,00~06시,0.015,남구,2422861.0,36342.915
25,목요일,06~11시,0.03,남구,2422861.0,72685.83
26,목요일,11~14시,0.025,남구,2422861.0,60571.525
27,목요일,14~18시,0.034,남구,2422861.0,82377.274
28,목요일,18~21시,0.02,남구,2422861.0,48457.22
29,목요일,21~24시,0.013000000000000001,남구,2422861.0,31497.193000000003
30,금요일,00~06시,0.016,남구,2422861.0,38765.776
31,금요일,06~11시,0.031,남구,2422861.0,75108.691
32,금요일,11~14시,0.026000000000000002,남구,2422861.0,62994.386000000006
33,금요일,14~18시,0.036000000000000004,남구,2422861.0,87222.99600000001
34,금요일,18~21시,0.023,남구,2422861.0,55725.803
35,금요일,21~24시,0.016,남구,2422861.0,38765.776
36,토요일,00~06시,0.021,남구,2422861.0,50880.081000000006
37,토요일,06~11시,0.031,남구,2422861.0,75108.691
38,토요일,11~14시,0.031,남구,2422861.0,75108.691
39,토요일,14~18시,0.042,남구,2422861.0,101760.16200000001
40,토요일,18~21시,0.027000000000000003,남구,2422861.0,65417.24700000001
41,토요일,21~24시,0.019,남구,2422861.0,46034.359
0,일요일,00~06시,0.018000000000000002,동구,2689323.0,48407.814000000006
1,일요일,06~11시,0.027000000000000003,동구,2689323.0,72611.721
2,일요일,11~14시,0.027999999999999997,동구,2689323.0,75301.044
3,일요일,14~18시,0.037000000000000005,동구,2689323.0,99504.95100000002
4,일요일,18~21시,0.022000000000000002,동구,2689323.0,59165.10600000001
5,일요일,21~24시,0.012,동구,2689323.0,32271.876
6,월요일,00~06시,0.012,동구,2689323.0,32271.876
7,월요일,06~11시,0.032,동구,2689323.0,86058.336
8,월요일,11~14시,0.026000000000000002,동구,2689323.0,69922.398
9,월요일,14~18시,0.034,동구,2689323.0,91436.982
10,월요일,18~21시,0.019,동구,2689323.0,51097.136999999995
11,월요일,21~24시,0.01,동구,2689323.0,26893.23
12,화요일,00~06시,0.011000000000000001,동구,2689323.0,29582.553000000004
13,화요일,06~11시,0.031,동구,2689323.0,83369.013
14,화요일,11~14시,0.026000000000000002,동구,2689323.0,69922.398
15,화요일,14~18시,0.033,동구,2689323.0,88747.659
16,화요일,18~21시,0.019,동구,2689323.0,51097.136999999995
17,화요일,21~24시,0.011000000000000001,동구,2689323.0,29582.553000000004
18,수요일,00~06시,0.011000000000000001,동구,2689323.0,29582.553000000004
19,수요일,06~11시,0.031,동구,2689323.0,83369.013
20,수요일,11~14시,0.026000000000000002,동구,2689323.0,69922.398
21,수요일,14~18시,0.034,동구,2689323.0,91436.982
22,수요일,18~21시,0.019,동구,2689323.0,51097.136999999995
23,수요일,21~24시,0.011000000000000001,동구,2689323.0,29582.553000000004
24,목요일,00~06시,0.011000000000000001,동구,2689323.0,29582.553000000004
25,목요일,06~11시,0.032,동구,2689323.0,86058.336
26,목요일,11~14시,0.027000000000000003,동구,2689323.0,72611.721
27,목요일,14~18시,0.034,동구,2689323.0,91436.982
28,목요일,18~21시,0.02,동구,2689323.0,53786.46
29,목요일,21~24시,0.011000000000000001,동구,2689323.0,29582.553000000004
30,금요일,00~06시,0.012,동구,2689323.0,32271.876
31,금요일,06~11시,0.035,동구,2689323.0,94126.30500000001
32,금요일,11~14시,0.03,동구,2689323.0,80679.69
33,금요일,14~18시,0.04,동구,2689323.0,107572.92
34,금요일,18~21시,0.024,동구,2689323.0,64543.752
35,금요일,21~24시,0.015,동구,2689323.0,40339.845
36,토요일,00~06시,0.017,동구,2689323.0,45718.491
37,토요일,06~11시,0.033,동구,2689323.0,88747.659
38,토요일,11~14시,0.033,동구,2689323.0,88747.659
39,토요일,14~18시,0.044000000000000004,동구,2689323.0,118330.21200000001
40,토요일,18~21시,0.025,동구,2689323.0,67233.075
41,토요일,21~24시,0.017,동구,2689323.0,45718.491
0,일요일,00~06시,0.02,동래구,3023819.0,60476.380000000005
1,일요일,06~11시,0.027000000000000003,동래구,3023819.0,81643.11300000001
2,일요일,11~14시,0.027999999999999997,동래구,3023819.0,84666.93199999999
3,일요일,14~18시,0.038,동래구,3023819.0,114905.122
4,일요일,18~21시,0.022000000000000002,동래구,3023819.0,66524.01800000001
5,일요일,21~24시,0.013000000000000001,동래구,3023819.0,39309.647000000004
6,월요일,00~06시,0.013000000000000001,동래구,3023819.0,39309.647000000004
7,월요일,06~11시,0.03,동래구,3023819.0,90714.56999999999
8,월요일,11~14시,0.022000000000000002,동래구,3023819.0,66524.01800000001
9,월요일,14~18시,0.031,동래구,3023819.0,93738.389
10,월요일,18~21시,0.02,동래구,3023819.0,60476.380000000005
11,월요일,21~24시,0.012,동래구,3023819.0,36285.828
12,화요일,00~06시,0.013000000000000001,동래구,3023819.0,39309.647000000004
13,화요일,06~11시,0.031,동래구,3023819.0,93738.389
14,화요일,11~14시,0.022000000000000002,동래구,3023819.0,66524.01800000001
15,화요일,14~18시,0.032,동래구,3023819.0,96762.208
16,화요일,18~21시,0.021,동래구,3023819.0,63500.199
17,화요일,21~24시,0.013000000000000001,동래구,3023819.0,39309.647000000004
18,수요일,00~06시,0.013000000000000001,동래구,3023819.0,39309.647000000004
19,수요일,06~11시,0.031,동래구,3023819.0,93738.389
20,수요일,11~14시,0.022000000000000002,동래구,3023819.0,66524.01800000001
21,수요일,14~18시,0.032,동래구,3023819.0,96762.208
22,수요일,18~21시,0.021,동래구,3023819.0,63500.199
23,수요일,21~24시,0.013000000000000001,동래구,3023819.0,39309.647000000004
24,목요일,00~06시,0.013000000000000001,동래구,3023819.0,39309.647000000004
25,목요일,06~11시,0.031,동래구,3023819.0,93738.389
26,목요일,11~14시,0.022000000000000002,동래구,3023819.0,66524.01800000001
27,목요일,14~18시,0.032,동래구,3023819.0,96762.208
28,목요일,18~21시,0.021,동래구,3023819.0,63500.199
29,목요일,21~24시,0.013000000000000001,동래구,3023819.0,39309.647000000004
30,금요일,00~06시,0.013999999999999999,동래구,3023819.0,42333.46599999999
31,금요일,06~11시,0.033,동래구,3023819.0,99786.027
32,금요일,11~14시,0.024,동래구,3023819.0,72571.656
33,금요일,14~18시,0.036000000000000004,동래구,3023819.0,108857.48400000001
34,금요일,18~21시,0.026000000000000002,동래구,3023819.0,78619.29400000001
35,금요일,21~24시,0.017,동래구,3023819.0,51404.923
36,토요일,00~06시,0.019,동래구,3023819.0,57452.561
37,토요일,06~11시,0.034,동래구,3023819.0,102809.846
38,토요일,11~14시,0.033,동래구,3023819.0,99786.027
39,토요일,14~18시,0.045,동래구,3023819.0,136071.85499999998
40,토요일,18~21시,0.03,동래구,3023819.0,90714.56999999999
41,토요일,21~24시,0.02,동래구,3023819.0,60476.380000000005
0,일요일,00~06시,0.024,부산진구,6142012.0,147408.288
1,일요일,06~11시,0.024,부산진구,6142012.0,147408.288
2,일요일,11~14시,0.026000000000000002,부산진구,6142012.0,159692.312
3,일요일,14~18시,0.037000000000000005,부산진구,6142012.0,227254.44400000002
4,일요일,18~21시,0.021,부산진구,6142012.0,128982.25200000001
5,일요일,21~24시,0.013000000000000001,부산진구,6142012.0,79846.156
6,월요일,00~06시,0.015,부산진구,6142012.0,92130.18
7,월요일,06~11시,0.026000000000000002,부산진구,6142012.0,159692.312
8,월요일,11~14시,0.024,부산진구,6142012.0,147408.288
9,월요일,14~18시,0.032,부산진구,6142012.0,196544.384
10,월요일,18~21시,0.019,부산진구,6142012.0,116698.228
11,월요일,21~24시,0.012,부산진구,6142012.0,73704.144
12,화요일,00~06시,0.013999999999999999,부산진구,6142012.0,85988.16799999999
13,화요일,06~11시,0.026000000000000002,부산진구,6142012.0,159692.312
14,화요일,11~14시,0.024,부산진구,6142012.0,147408.288
15,화요일,14~18시,0.033,부산진구,6142012.0,202686.396
16,화요일,18~21시,0.02,부산진구,6142012.0,122840.24
17,화요일,21~24시,0.012,부산진구,6142012.0,73704.144
18,수요일,00~06시,0.013999999999999999,부산진구,6142012.0,85988.16799999999
19,수요일,06~11시,0.026000000000000002,부산진구,6142012.0,159692.312
20,수요일,11~14시,0.024,부산진구,6142012.0,147408.288
21,수요일,14~18시,0.033,부산진구,6142012.0,202686.396
22,수요일,18~21시,0.021,부산진구,6142012.0,128982.25200000001
23,수요일,21~24시,0.013000000000000001,부산진구,6142012.0,79846.156
24,목요일,00~06시,0.013999999999999999,부산진구,6142012.0,85988.16799999999
25,목요일,06~11시,0.026000000000000002,부산진구,6142012.0,159692.312
26,목요일,11~14시,0.024,부산진구,6142012.0,147408.288
27,목요일,14~18시,0.033,부산진구,6142012.0,202686.396
28,목요일,18~21시,0.021,부산진구,6142012.0,128982.25200000001
29,목요일,21~24시,0.013000000000000001,부산진구,6142012.0,79846.156
30,금요일,00~06시,0.016,부산진구,6142012.0,98272.192
31,금요일,06~11시,0.027999999999999997,부산진구,6142012.0,171976.33599999998
32,금요일,11~14시,0.026000000000000002,부산진구,6142012.0,159692.312
33,금요일,14~18시,0.036000000000000004,부산진구,6142012.0,221112.43200000003
34,금요일,18~21시,0.025,부산진구,6142012.0,153550.30000000002
35,금요일,21~24시,0.018000000000000002,부산진구,6142012.0,110556.21600000001
36,토요일,00~06시,0.022000000000000002,부산진구,6142012.0,135124.26400000002
37,토요일,06~11시,0.03,부산진구,6142012.0,184260.36
38,토요일,11~14시,0.034,부산진구,6142012.0,208828.40800000002
39,토요일,14~18시,0.049,부산진구,6142012.0,300958.588
40,토요일,18~21시,0.031,부산진구,6142012.0,190402.372
41,토요일,21~24시,0.022000000000000002,부산진구,6142012.0,135124.26400000002
0,일요일,00~06시,0.02,북구,1963672.0,39273.44
1,일요일,06~11시,0.031,북구,1963672.0,60873.832
2,일요일,11~14시,0.03,북구,1963672.0,58910.159999999996
3,일요일,14~18시,0.040999999999999995,북구,1963672.0,80510.552
4,일요일,18~21시,0.022000000000000002,북구,1963672.0,43200.78400000001
5,일요일,21~24시,0.012,북구,1963672.0,23564.064000000002
6,월요일,00~06시,0.013999999999999999,북구,1963672.0,27491.407999999996
7,월요일,06~11시,0.031,북구,1963672.0,60873.832
8,월요일,11~14시,0.022000000000000002,북구,1963672.0,43200.78400000001
9,월요일,14~18시,0.031,북구,1963672.0,60873.832
10,월요일,18~21시,0.018000000000000002,북구,1963672.0,35346.096000000005
11,월요일,21~24시,0.01,북구,1963672.0,19636.72
12,화요일,00~06시,0.013999999999999999,북구,1963672.0,27491.407999999996
13,화요일,06~11시,0.032,북구,1963672.0,62837.504
14,화요일,11~14시,0.023,북구,1963672.0,45164.456
15,화요일,14~18시,0.032,북구,1963672.0,62837.504
16,화요일,18~21시,0.019,북구,1963672.0,37309.768
17,화요일,21~24시,0.011000000000000001,북구,1963672.0,21600.392000000003
18,수요일,00~06시,0.013999999999999999,북구,1963672.0,27491.407999999996
19,수요일,06~11시,0.031,북구,1963672.0,60873.832
20,수요일,11~14시,0.022000000000000002,북구,1963672.0,43200.78400000001
21,수요일,14~18시,0.032,북구,1963672.0,62837.504
22,수요일,18~21시,0.019,북구,1963672.0,37309.768
23,수요일,21~24시,0.011000000000000001,북구,1963672.0,21600.392000000003
24,목요일,00~06시,0.013000000000000001,북구,1963672.0,25527.736
25,목요일,06~11시,0.031,북구,1963672.0,60873.832
26,목요일,11~14시,0.022000000000000002,북구,1963672.0,43200.78400000001
27,목요일,14~18시,0.031,북구,1963672.0,60873.832
28,목요일,18~21시,0.019,북구,1963672.0,37309.768
29,목요일,21~24시,0.011000000000000001,북구,1963672.0,21600.392000000003
30,금요일,00~06시,0.015,북구,1963672.0,29455.079999999998
31,금요일,06~11시,0.033,북구,1963672.0,64801.176
32,금요일,11~14시,0.025,북구,1963672.0,49091.8
33,금요일,14~18시,0.036000000000000004,북구,1963672.0,70692.19200000001
34,금요일,18~21시,0.024,북구,1963672.0,47128.128000000004
35,금요일,21~24시,0.015,북구,1963672.0,29455.079999999998
36,토요일,00~06시,0.02,북구,1963672.0,39273.44
37,토요일,06~11시,0.037000000000000005,북구,1963672.0,72655.86400000002
38,토요일,11~14시,0.034,북구,1963672.0,66764.848
39,토요일,14~18시,0.046,북구,1963672.0,90328.912
40,토요일,18~21시,0.027000000000000003,북구,1963672.0,53019.14400000001
41,토요일,21~24시,0.018000000000000002,북구,1963672.0,35346.096000000005
0,일요일,00~06시,0.018000000000000002,사상구,2256647.0,40619.64600000001
1,일요일,06~11시,0.026000000000000002,사상구,2256647.0,58672.82200000001
2,일요일,11~14시,0.026000000000000002,사상구,2256647.0,58672.82200000001
3,일요일,14~18시,0.036000000000000004,사상구,2256647.0,81239.29200000002
